datetime,wind_dir,wind_speed,wind_dir_deg
2025-01-21 03:00:00,SE,7.2,135.0
2025-01-21 06:00:00,SSE,3.6,157.5
2025-01-21 09:00:00,NNE,3.6,22.5
2025-01-21 12:00:00,CAL,0.0,
2025-01-21 15:00:00,ESE,3.6,112.5
2025-01-21 18:00:00,CAL,0.0,
2025-01-21 21:00:00,CAL,0.0,
2025-01-22 00:00:00,WSW,3.6,247.5
2025-01-22 00:00:00,WSW,3.6,247.5
2025-01-22 03:00:00,NE,7.2,45.0
2025-01-22 06:00:00,NW,3.6,315.0
2025-01-22 09:00:00,SSE,7.2,157.5
2025-01-22 12:00:00,SW,3.6,225.0
2025-01-22 15:00:00,CAL,0.0,
2025-01-22 18:00:00,CAL,0.0,
2025-01-22 21:00:00,CAL,0.0,
2025-01-23 00:00:00,NNE,3.6,22.5
2025-01-23 00:00:00,NNE,3.6,22.5
2025-01-23 03:00:00,E,7.2,90.0
2025-01-23 06:00:00,NNE,7.2,22.5
2025-01-23 09:00:00,SSE,7.2,157.5
2025-01-23 12:00:00,CAL,0.0,
2025-01-23 15:00:00,CAL,0.0,
2025-01-23 18:00:00,CAL,0.0,
2025-01-23 21:00:00,CAL,0.0,
2025-01-24 00:00:00,SE,3.6,135.0
2025-01-24 00:00:00,SE,3.6,135.0
2025-01-24 03:00:00,SSE,7.2,157.5
2025-01-24 06:00:00,S,7.2,180.0
2025-01-24 09:00:00,S,3.6,180.0
2025-01-24 12:00:00,SE,3.6,135.0
2025-01-24 15:00:00,CAL,0.0,
2025-01-24 18:00:00,E,3.6,90.0
2025-01-24 21:00:00,S,3.6,180.0
2025-01-25 00:00:00,NW,3.6,315.0
2025-01-25 00:00:00,NW,3.6,315.0
2025-01-25 03:00:00,NNE,7.2,22.5
2025-01-25 06:00:00,NNW,7.2,337.5
2025-01-25 09:00:00,W,3.6,270.0
2025-01-25 12:00:00,E,3.6,90.0
2025-01-25 15:00:00,ENE,7.2,67.5
2025-01-25 18:00:00,ENE,3.6,67.5
2025-01-25 21:00:00,ENE,3.6,67.5
2025-01-26 00:00:00,NNE,3.6,22.5
2025-01-26 00:00:00,NNE,3.6,22.5
2025-01-26 03:00:00,NE,3.6,45.0
2025-01-26 06:00:00,N,7.2,0.0
2025-01-26 09:00:00,NE,7.2,45.0
2025-01-26 12:00:00,CAL,0.0,
2025-01-26 15:00:00,CAL,0.0,
2025-01-26 18:00:00,CAL,0.0,
2025-01-26 21:00:00,NNE,3.6,22.5
2025-01-27 00:00:00,E,3.6,90.0
2025-01-27 00:00:00,E,3.6,90.0
2025-01-27 03:00:00,ESE,3.6,112.5
